"PAIS","PROVINCIA"
"ARGENTINA","SANTA_FE"
"ARGENTINA","LA_PAMPA"
"ARGENTINA","ENTRE_RIOS"
"SUIZA","GENEVE"
"CANADA","SIN_INFORMAR"
"ITALIA","LOMBARDIA"
"ESPAÑA","LAS_PALMAS"
"PARAGUAY","CENTRAL"
"BRASIL","BAHIA"
"ESPAÑA","SEVILLA"
"ESPAÑA","ASTURIAS"
"PORTUGAL","PORTO"
"VENEZUELA","SIN_INFORMAR"
"CANADA","ONTARIO"
"SUIZA","AARGAU"
"ALEMANIA","BERLIN"
"MALASIA","SELANGOR"
"ESPAÑA","HUELVA"
"PORTUGAL","FARO"
"AUSTRIA","SIN_INFORMAR"
"ESPAÑA","ALBACETE"
"BOLIVIA","CHUQUISACA"
"SIRIA","DIMASHQ"
"PARAGUAY","CAAGUAZU"
"ESTADOS_UNIDOS","COLORADO"
"VENEZUELA","BOLIVAR"
"ECUADOR","LOS_RIOS"
"PERU","SIN_INFORMAR"
"ESPAÑA","CUENCA"
"BOLIVIA","ORURO"
"ITALIA","UMBRIA"
"EMIRATOS_ARABES_UNIDOS","DUBAI"
"MEXICO","NAYARIT"
"REPUBLICA_CHECA","HLAVNI_MESTO_PRAHA"
"ESTADOS_UNIDOS","WISCONSIN"
"COREA_DEL_SUR","SEOUL-TUKPYOLSI"
"POLONIA","MALOPOLSKIE"
"REINO_UNIDO","SURREY"
"ESLOVENIA","LJUBLJANA"
"COLOMBIA","SUCRE"
"JAPON","TOKYO"
"SIRIA","SIN_INFORMAR"
"REINO_UNIDO","BOLTON"
"COLOMBIA","CHOCO"
"PORTUGAL","SIN_INFORMAR"
"ESTADOS_UNIDOS","MISSOURI"
"REPUBLICA_DOMINICANA","ESPAILLAT"
"ESTADOS_UNIDOS","PUERTO_RICO"
"CHILE","ATACAMA"
"REINO_UNIDO","ESSEX"
"GRECIA","ATTIKI"
"TAILANDIA","PHUKET"
"ALEMANIA","MECKLENBURG-VORPOMMERN"
"BRASIL","RIO_GRANDE_DO_NORTE"
"PARAGUAY","CONCEPCION"
"ITALIA","SICILIA"
"MEXICO","GUERRERO"
"GUATEMALA","ESCUINTLA"
"SUECIA","SODERMANLANDS_LAN"
"REINO_UNIDO","WEST_MIDLANDS"
"REINO_UNIDO","FLINTSHIRE"
"ECUADOR","IMBABURA"
"BRASIL","PARA"
"BRASIL","ALAGOAS"
"PORTUGAL","BEJA"
"REINO_UNIDO","RICHMOND_UPON_THAMES"
"MOZAMBIQUE","MAPUTO"
"CHILE","AISEN_DEL_GENERAL_CARLOS_IBANEZ_DEL_CAMPO"
"LIBANO","BEYROUTH"
"CANADA","SASKATCHEWAN"
"FRANCIA","LIMOUSIN"
"COLOMBIA","NARINO"
"NORUEGA","ROGALAND"
"UCRANIA","IVANO-FRANKIVS_KA_OBLAST"
"MEXICO","ZACATECAS"
"IRLANDA","WEXFORD"
"REINO_UNIDO","HERTFORD"
"LIECHTENSTEIN","MAUREN"
"REPUBLICA_DOMINICANA","SAN_JUAN"
"REINO_UNIDO","NORFOLK"
"BELGICA","WEST-VLAANDEREN"
"AUSTRIA","KARNTEN"
"SUDAFRICA","NORTH-WEST"
"ANDORRA","ORDINO"
"BELGICA","HAINAUT"
"REINO_UNIDO","BROMLEY"
"TRINIDAD_Y_TOBAGO","SIN_INFORMAR"
"ALEMANIA","CIUDAD_DE_BUENOS_AIRES"
"EL_SALVADOR","SIN_INFORMAR"
"REINO_UNIDO","BELFAST"
"NUEVA_ZELANDA","WANGANUI"
"BELGICA","LUXEMBOURG"
"SUIZA","ZUG"
"PARAGUAY","BOQUERON"
"REINO_UNIDO","ANGUS"
"COLOMBIA","CESAR"
"ISRAEL","YERUSHALAYIM"
"REINO_UNIDO","BRACKNELL_FOREST"
"ESLOVENIA","ZALEC"
"IRLANDA","WATERFORD"
"PORTUGAL","CASTELO_BRANCO"
"SUIZA","SCHWYZ"
"REINO_UNIDO","WINDSOR_AND_MAIDENHEAD"
"JAPON","MIYAGI"
"REPUBLICA_DOMINICANA","MONSENOR_NOUEL"
"GRECIA","LARISA"
"REINO_UNIDO","MIDDLESBROUGH"
"Paises_Bajos","UTRECHT"
"LITUANIA","MARIJAMPOLES_APSKRITIS"
"TAILANDIA","SIN_INFORMAR"
"COLOMBIA","CORDOBA"
"LIECHTENSTEIN","VADUZ"
"IRLANDA","KILDARE"
"RUMANIA","BIHOR"
"REPUBLICA_POPULAR_CHINA","HUBEI"
"PAPUA_NUEVA_GUINEA","SANDAUN"
"ZIMBABUE","HARARE"
"SUECIA","GAVLEBORGS_LAN"
"INDIA","TAMIL_NADU"
"PORTUGAL","COIMBRA"
"MEXICO","SINALOA"
"CAMBOYA","SIN_INFORMAR"
"COLOMBIA","HUILA"
"GHANA","GREATER_ACCRA"
"REPUBLICA_DEMOCRATICA_DEL_CONGO","CONGO,_THE_DEMOCRATIC_REPUBLIC_OF_THE_(GENERAL)"
"BRUNEI_DARUSSALAM","BELAIT"
"DINAMARCA","RINGKOBING"
"CUBA","CIENFUEGOS"
"LIBANO","NABATIYE"
"INDIA","UTTAR_PRADESH"
"MONACO","SIN_INFORMAR"
"AUSTRIA","BURGENLAND"
"JAPON","IWATE"
"GUATEMALA","QUICHE"
"NICARAGUA","CARAZO"
"EL_SALVADOR","LA_UNION"
"JAPON","EHIME"
"PORTUGAL","MADEIRA"
"NUEVA_ZELANDA","WAIHEKE"
"VIETNAM","SIN_INFORMAR"
"JAMAICA","KINGSTON"
"NICARAGUA","LEON"
"DINAMARCA","FREDERIKSBORG"
"COLOMBIA","PUTUMAYO"
"REINO_UNIDO","BARKING_AND_DAGENHAM"
"SAN_MARINO","SERRAVALLE"
"UCRANIA","VINNYTS_KA_OBLAST"
"ECUADOR","SUCUMBIOS"
"FILIPINAS","CALOOCAN"
"PORTUGAL","BRAGA"
"INDIA","ANDHRA_PRADESH"
"DINAMARCA","VESTSJALLAND"
"FILIPINAS","BAGUIO"
"MALASIA","PERAK"
"NUEVA_ZELANDA","PAHIATUA"
"NORUEGA","OPPLAND"
"ESLOVENIA","NOVA_GORICA"
"TAILANDIA","SAMUT_PRAKAN"
" ","CHUBUT"
" ","SAN JUAN"
" ","NEUQUEN"
"HONDURAS","COLON"
"GRECIA","IOANNINA"
"LIECHTENSTEIN","SCHAAN"
"REINO_UNIDO","WIRRAL"
"RUSIA","TYUMEN"
"HUNGRIA","TOLNA"
"ARGENTINA","NOORD-BRABANT"
"COREA_DEL_SUR","CORDOBA"
"GRECIA","ARGOLIS"
"REPUBLICA_POPULAR_CHINA","HENAN"
"ARGENTINA","BUENOS_AIRES"
"ARGENTINA","MENDOZA"
"ARGENTINA","FORMOSA"
"ARGENTINA","TIERRA_DEL_FUEGO"
"ESPAÑA","LUGO"
"PERU","LIMA"
"ALEMANIA","BADEN-WBERG_BAYERN"
"CHILE","SIN_INFORMAR"
"ESTADOS_UNIDOS","ILLINOIS"
"ESPAÑA","ALICANTE"
"PARAGUAY","PARAGUARI"
"PERU","PIURA"
"ESTADOS_UNIDOS","GEORGIA"
"BOLIVIA","LA_PAZ"
"ESPAÑA","TARRAGONA"
"BRASIL","PERNAMBUCO"
"URUGUAY","CANELONES"
"BOLIVIA","SANTA_CRUZ"
"ESTADOS_UNIDOS","OREGON"
"BRASIL","RIO_DE_JANEIRO"
"AUSTRALIA","NEW_SOUTH_WALES"
"ESPAÑA","CANTABRIA"
"IRLANDA","DUBLIN"
"SUIZA","ZURICH"
"ESTADOS_UNIDOS","CONNECTICUT"
"CANADA","NOVA_SCOTIA"
"VENEZUELA","DISTRITO_FEDERAL"
"SUIZA","SIN_INFORMAR"
"ITALIA","FRIULI-VENEZIA_GIULIA"
"REPUBLICA_POPULAR_CHINA","BEIJING"
"ECUADOR","TUNGURAHUA"
"CUBA","SANTIAGO_DE_CUBA"
"MEXICO","TABASCO"
"MEXICO","SONORA"
"MEXICO","QUINTANA_ROO"
"COSTA_RICA","HEREDIA"
"ITALIA","ITALY_(GENERAL)"
"ITALIA","MARCHE"
"SINGAPUR","SINGAPORE_(GENERAL)"
"MEXICO","QUERETARO_DE_ARTEAGA"
"PARAGUAY","GUAIRA"
"ESTADOS_UNIDOS","ALABAMA"
"URUGUAY","SORIANO"
"ITALIA","ABRUZZI"
"ITALIA","MOLISE"
"URUGUAY","ROCHA"
"COSTA_RICA","CARTAGO"
"NUEVA_ZELANDA","MANAWATU"
"FRANCIA","PROVENCE-ALPES-COTE_D_AZUR"
"JAPON","TOCHIGI"
"ALEMANIA","SCHLESWIG-HOLSTEIN"
"ESPAÑA","CORDOBA"
