"PAIS","PROVINCIA","MUNICIPIO"
"ARGENTINA","MENDOZA","LAVALLE"
"ARGENTINA","SAN_LUIS","GENERAL_PEDERNERA_"
"ARGENTINA","BUENOS_AIRES","BRAGADO"
"ARGENTINA","CORRIENTES","SANTO_TOMé"
"ARGENTINA","SANTA_FE","CASTELLANOS"
"ARGENTINA","TUCUMAN","JUAN_BAUTISTA_ALBERDI_"
"ARGENTINA","SANTA_FE","IRIONDO"
"ARGENTINA","BUENOS_AIRES","CORONEL_ROSALES"
"ARGENTINA","SAN_JUAN","SAN_MARTíN"
"ARGENTINA","BUENOS_AIRES","CASTELLI"
"ARGENTINA","RIO_NEGRO","CONESA"
"ARGENTINA","LA_RIOJA","SAN_BLAS_DE_LOS_SAUCES"
"AUSTRALIA","VICTORIA","SIN_INFORMAR"
"PARAGUAY","CORDILLERA","SIN_INFORMAR"
"MEXICO","DISTRITO_FEDERAL","IZTAPALAPA"
"GUATEMALA","ESCUINTLA","SIN_INFORMAR"
"ESPAÑA","GUADALAJARA","CABANILLAS_DEL_CAMPO"
"MEXICO","NUEVO_LEON","SAN_NICOLáS_DE_LOS_GARZA"
"PERU","AREQUIPA","SIN_INFORMAR"
"ESPAÑA","ALICANTE","ALMORADI"
"ESPAÑA","AVILA","BERCIAL_DE_ZAPARDIEL"
"ESPAÑA","GRANADA","MORALEDA_DE_ZAFAYONA"
"ESPAÑA","ORENSE","VERIN"
"MEXICO","YUCATAN","VALLADOLID"
"ESPAÑA","GUADALAJARA","CHILOECHES"
"MONACO","MONACO","SIN_INFORMAR"
"CHIPRE","NICOSIA","SIN_INFORMAR"
"MEXICO","JALISCO","CHAPALA"
"ESPAÑA","MALLORCA","VILAFRANCA_DE_BONANY"
"ESPAÑA","NAVARRA","BARAÑAIN"
"ARGENTINA","SANTA_FE","PILAR"
"REPUBLICA_POPULAR_CHINA","CHONGQING","SIN_INFORMAR"
"BRASIL","PARANA","IRATI"
"ESPAÑA","MADRID","MOLINOS__LOS"
"ARGENTINA","SAN_JUAN","RIVADAVIA_"
"ESPAÑA","VALENCIA","BENIFAIO"
"ESPAÑA","LEON","RIAÑO"
"ESPAÑA","AVILA","CEBREROS"
"ESPAÑA","CACERES","MAJADAS"
"ESPAÑA","BARCELONA","SALLENT"
"REINO_UNIDO","HOUNSLOW","SIN_INFORMAR"
"ESPAÑA","LA_CORUÑA","LAXE"
"ESPAÑA","PALENCIA","VENTA_DE_BAÑOS"
"ARGENTINA","CIUDAD_DE_BUENOS_AIRES","ESTEBAN_ECHEVERRíA"
"BRASIL","BAHIA","SERRINHA"
"ESPAÑA","GIRONA","BASCARA"
"REINO_UNIDO","MEDWAY","SIN_INFORMAR"
"ARGENTINA","RIO_NEGRO","BARILOCHE"
"ARGENTINA","BUENOS_AIRES","LA_PLATA"
"ARGENTINA","SAN_JUAN","CALINGASTA"
"ARGENTINA","RIO_NEGRO","SAN_ANTONIO"
"ESPAÑA","VALENCIA","TAVERNES_DE_LA_VALLDIGNA"
"SIRIA","SIN_INFORMAR","SIN_INFORMAR"
"ESPAÑA","VALENCIA","BETERA"
"VENEZUELA","ANZOATEGUI","SIN_INFORMAR"
"HUNGRIA","FEJER","SIN_INFORMAR"
"ESPAÑA","MADRID","CABRERA__LA"
"ESPAÑA","BARCELONA","PREMIA_DE_MAR"
"ESPAÑA","PONTEVEDRA","PORRIÑO__O"
"ESPAÑA","LLEIDA","TIRVIA"
"FRANCIA","ALSACE","SIN_INFORMAR"
"ESPAÑA","VALENCIA","GODELLA"
"ESPAÑA","VALENCIA","CATARROJA"
"BELGICA","OOST-VLAANDEREN","SIN_INFORMAR"
"ESPAÑA","VALENCIA","VILAMARXANT"
"EGIPTO","AL_QAHIRAH","SIN_INFORMAR"
" ","BUENOS AIRES","LANUS"
"NICARAGUA","LEON","SIN_INFORMAR"
"BRASIL","PIAUI","TERESINA"
"ESPAÑA","GUADALAJARA","MARANCHON"
"ESPAÑA","AVILA","HORCAJADA__LA"
"REINO_UNIDO","LISBURN","SIN_INFORMAR"
" ","SALTA","GENERAL GÜEMES"
"BRASIL","PARANA","UMUARAMA"
"MEXICO","JALISCO","JOCOTEPEC"
"ESPAÑA","LLEIDA","ARTESA_DE_LLEIDA"
"JAPON","WAKAYAMA","SIN_INFORMAR"
"ESPAÑA","ZAMORA","PUEBLA_DE_SANABRIA"
"ARGENTINA","BUENOS_AIRES","MAIPú"
"ARGENTINA","SANTIAGO_DEL_ESTERO","AVELLANEDA"
"ALEMANIA","SIN_INFORMAR","SIN_INFORMAR"
"ARGENTINA","BUENOS_AIRES","TRES_LOMAS"
"ARGENTINA","BUENOS_AIRES","CARMEN_DE_ARECO"
"ARGENTINA","CATAMARCA","PACLíN"
"ESTADOS_UNIDOS","CALIFORNIA","SIN_INFORMAR"
"ESPAÑA","MALAGA","FUENGIROLA"
"ESPAÑA","TENERIFE","ADEJE"
"ESPAÑA","MALLORCA","SANTANYÍ"
"ESPAÑA","BARCELONA","PRAT_DE_LLOBREGAT__EL"
"ESPAÑA","MALLORCA","ARTÀ"
"MEXICO","CHIAPAS","SAN_CRISTóBAL_DE_LAS_CASAS"
"BRASIL","PERNAMBUCO","RECIFE"
"VENEZUELA","TRUJILLO","SIN_INFORMAR"
"ESPAÑA","TERUEL","CALANDA"
"REPUBLICA_DOMINICANA","PERAVIA","SIN_INFORMAR"
"ESPAÑA","SALAMANCA","LINARES_DE_RIOFRIO"
"ESPAÑA","ALBACETE","CHINCHILLA_DE_MONTE_ARAGON"
"ESPAÑA","CIUDAD_REAL","MANZANARES"
"ESPAÑA","BARCELONA","SANT_FOST_DE_CAMPSENTELLES"
"CROACIA","SIBENSKO-KNINSKA","SIN_INFORMAR"
"ESPAÑA","SORIA","SIN_INFORMAR"
"MEXICO","TLAXCALA","SANTA_CRUZ_TLAXCALA"
"ESPAÑA","BARCELONA","PALAU_SOLITÀ_I_PLEGAMANS"
" ","CIUDAD AUTONOMA DE BS AS","COMUNA 14"
"Paises_Bajos","NOORD-BRABANT","SIN_INFORMAR"
"ESPAÑA","GUIPUZCOA","USURBIL"
"REPUBLICA_DOMINICANA","SANTIAGO_RODRIGUEZ","SIN_INFORMAR"
"REINO_UNIDO","DONCASTER","SIN_INFORMAR"
"ARGENTINA","SANTIAGO_DEL_ESTERO","GENERAL_SAN_MARTíN"
"ESPAÑA","ORENSE","COLES"
"ESPAÑA","NAVARRA","CINTRUENIGO"
"ESPAÑA","HUESCA","TAMARITE_DE_LITERA"
"ESPAÑA","CANTABRIA","ASTILLERO__EL"
"ESPAÑA","VALENCIA","ALBALAT_DELS_SORELLS"
"NORUEGA","SOR-TRONDELAG","SIN_INFORMAR"
"ESPAÑA","ALMERIA","ORIA"
"ESPAÑA","BADAJOZ","BERLANGA"
"ESPAÑA","SEGOVIA","MUÑOVEROS"
"ESPAÑA","TARRAGONA","MONTMELL__EL"
"ESPAÑA","GIRONA","PERALADA"
"ARGENTINA","BUENOS_AIRES","GUALEGUAYCHú"
"REINO_UNIDO","COOKSTOWN","SIN_INFORMAR"
"LITUANIA","KAUNO_APSKRITIS","SIN_INFORMAR"
"ESPAÑA","MADRID","FRESNO_DE_TOROTE"
"ESPAÑA","GIRONA","FORTIA"
"UCRANIA","DONETS_KA_OBLAST","SIN_INFORMAR"
"ARGENTINA","SANTIAGO_DEL_ESTERO","PELLEGRINI"
"ARGENTINA","SANTIAGO_DEL_ESTERO","JUAN_FELIPE_IBARRA"
"ARGENTINA","ENTRE_RIOS","SAN_SALVADOR"
"ARGENTINA","TUCUMAN","LEALES"
"ARGENTINA","BUENOS_AIRES","MARCOS_PAZ"
"ARGENTINA","JUJUY","VALLE_GRANDE"
"BRASIL","RIO_DE_JANEIRO","RIO_DE_JANEIRO"
"ARGENTINA","JUJUY","TUMBAYA"
"DINAMARCA","KOBENHAVN","SIN_INFORMAR"
"ESPAÑA","MADRID","VILLAVICIOSA_DE_ODON"
"ESTADOS_UNIDOS","MISSOURI","SIN_INFORMAR"
"ANDORRA","CANILLO","SIN_INFORMAR"
"MEXICO","MICHOACAN_DE_OCAMPO","MORELIA"
"MEXICO","MEXICO","TEPOTZOTLáN"
"ESPAÑA","BARCELONA","SANT_SADURNI_D´ANOIA"
"ESPAÑA","CADIZ","CHICLANA_DE_LA_FRONTERA"
"ESTADOS_UNIDOS","NEW_MEXICO","SIN_INFORMAR"
"ESPAÑA","VALENCIA","CHULILLA"
"BRASIL","SAO_PAULO","ITAPETININGA"
" ","JUJUY","HUMAHUACA"
"ESPAÑA","TENERIFE","BREÑA_ALTA"
"ESPAÑA","ORENSE","ALLARIZ"
"ESPAÑA","VIZCAYA","LEZAMA"
"ESPAÑA","MADRID","VILLAR_DEL_OLMO"
"ESPAÑA","BARCELONA","TEIA"
"ANDORRA","SANT_JULIA_DE_LORIA","SIN_INFORMAR"
"REINO_UNIDO","SOUTH_GLAMORGAN","SIN_INFORMAR"
"ESPAÑA","ZARAGOZA","CUARTE_DE_HUERVA"
" ","MISIONES","EL DORADO"
"SUIZA","GLARUS","SIN_INFORMAR"
"ESPAÑA","CIUDAD_REAL","ALDEA_DEL_REY"
" ","BUENOS AIRES","PATAGONES"
"ARGENTINA","MENDOZA","SAN_RAFAEL_"
"ARGENTINA","BUENOS_AIRES","MERLO"
"ARGENTINA","SANTIAGO_DEL_ESTERO","SANTIAGO_DEL_ESTERO_CAPITAL"
"ARGENTINA","FORMOSA","PILCOMAYO"
"ARGENTINA","JUJUY","SANTA_BáRBARA"
"ARGENTINA","CATAMARCA","SANTA_ROSA"
"ARGENTINA","SAN_LUIS","CORONEL_PRINGLES"
"URUGUAY","MALDONADO","SIN_INFORMAR"
"ARGENTINA","CHUBUT","MáRTIRES"
"ESPAÑA","BARCELONA","SIN_INFORMAR"
"NUEVA_ZELANDA","SIN_INFORMAR","SIN_INFORMAR"
"ESPAÑA","ASTURIAS","SIN_INFORMAR"
"MEXICO","JALISCO","GUADALAJARA"
"PARAGUAY","GUAIRA","SIN_INFORMAR"
"ESPAÑA","ALICANTE","ALFAS_DEL_PI__L´"
"ALEMANIA","SAARLAND","SIN_INFORMAR"
"ESPAÑA","MADRID","HOYO_DE_MANZANARES"
"ESPAÑA","ALICANTE","PEDREGUER"
"TRINIDAD_Y_TOBAGO","PORT-OF-SPAIN","SIN_INFORMAR"
"ESPAÑA","TARRAGONA","PALLARESOS__ELS"
"ESPAÑA","","SIN_INFORMAR"
"MEXICO","QUERETARO_DE_ARTEAGA","SIN_INFORMAR"
"MEXICO","TAMAULIPAS","TAMPICO"
"ESPAÑA","AVILA","AREVALO"
"REINO_UNIDO","WEST_LOTHIAN","SIN_INFORMAR"
"ESPAÑA","GUADALAJARA","CASAR__EL"
"ESPAÑA","ASTURIAS","CASTRILLON"
"ESPAÑA","CASTELLON","BENICASIM/BENICÀSSIM"
"ESPAÑA","JAEN","UBEDA"
"ESPAÑA","SALAMANCA","CANDELARIO"
"ESLOVAQUIA","TRNAVA","SIN_INFORMAR"
" ","BUENOS AIRES","SAN ISIDRO"
"ESPAÑA","VALENCIA","DAIMUS"
"ESPAÑA","GUIPUZCOA","ELGOIBAR"
"REINO_UNIDO","WORCESTERSHIRE","SIN_INFORMAR"
"MEXICO","HIDALGO","PROGRESO_DE_OBREGóN"
"BRASIL","MINAS_GERAIS","ARAXá"
"ESPAÑA","BARCELONA","BADIA_DEL_VALLES"
"ESPAÑA","SEVILLA","GELVES"
"ESPAÑA","LA_CORUÑA","PORTO_DO_SON"
"ESPAÑA","MURCIA","PLIEGO"
"NUEVA_ZELANDA","BAY_OF_ISLANDS","SIN_INFORMAR"
"ESPAÑA","LLEIDA","VILAMÒS"
"SUECIA","GOTLANDS_LAN","SIN_INFORMAR"
"ARGENTINA","SANTA_FE","GARAY"
"ARGENTINA","BUENOS_AIRES","JUNíN"
"ARGENTINA","BUENOS_AIRES","PERGAMINO"
"ARGENTINA","LA_PAMPA","CHAPALEUFú"
"ARGENTINA","SANTA_CRUZ","LAGO_ARGENTINO_"
"ARGENTINA","BUENOS_AIRES","GENERAL_VILLEGAS"
"ESTADOS_UNIDOS","MINNESOTA","SIN_INFORMAR"
"ALEMANIA","BERLIN","SIN_INFORMAR"
"ESPAÑA","GRANADA","SIN_INFORMAR"
"ESTADOS_UNIDOS","PUERTO_RICO","SIN_INFORMAR"
"ESPAÑA","GIRONA","BLANES"
"ESPAÑA","MADRID","ALAMO__EL"
"REINO_UNIDO","GREATER_LONDON","SIN_INFORMAR"
"CHILE","MAULE","CURICó"
"ESPAÑA","GUIPUZCOA","ZARAUTZ"
"BELGICA","LIMBURG","SIN_INFORMAR"
"ESPAÑA","AVILA","SANTA_MARIA_DEL_BERROCAL"
"ESPAÑA","GIRONA","BEGUR"
"ESPAÑA","VALENCIA","ALMUSSAFES"
"ESPAÑA","ALMERIA","GALLARDOS__LOS"
"ESPAÑA","CIUDAD_REAL","SOLANA__LA"
"ESPAÑA","MALAGA","BENAMOCARRA"
"QATAR","AR_RAYYAN","SIN_INFORMAR"
"ESTADOS_UNIDOS","ALASKA","SIN_INFORMAR"
"ESPAÑA","BARCELONA","CASTELLBISBAL"
"ESPAÑA","TARRAGONA","SELVA_DEL_CAMP__LA"
"ESPAÑA","GUADALAJARA","HORCHE"
"MEXICO","MEXICO","PAPALOTLA"
"ESPAÑA","VIZCAYA","DERIO"
"ESPAÑA","ZAMORA","VEGA_DE_VILLALOBOS"
"ESPAÑA","BURGOS","CASTRILLO_DEL_VAL"
"ESPAÑA","TARRAGONA","ALBINYANA"
"ESPAÑA","CIUDAD_REAL","SANTA_CRUZ_DE_MUDELA"
"BRASIL","SAO_PAULO","AVARé"
"PERU","AMAZONAS","SIN_INFORMAR"
"ESPAÑA","LA_CORUÑA","VIMIANZO"
" ","FORMOSA","FORMOSA"
" ","RIO NEGRO","BARILOCHE"
"ESPAÑA","ALICANTE","RAFAL"
"BRASIL","MATO_GROSSO","RONDONóPOLIS"
"BRASIL","ESPIRITO_SANTO","SãO_MATEUS"
"ESPAÑA","ALMERIA","ALHABIA"
"REINO_UNIDO","MONMOUTHSHIRE","SIN_INFORMAR"
"BRASIL","BAHIA","SANTA_MARIA_DA_VITóRIA"
"ESPAÑA","ASTURIAS","CASTROPOL"
"HOLANDA","LIMBURG","SIN_INFORMAR"
"ESPAÑA","GIRONA","VILABERTRAN"
"ARGENTINA","SANTA_FE","SAN_NICOLáS"
"ESPAÑA","TENERIFE","AGULO"
"MARRUECOS","ESSAOUIRA","SIN_INFORMAR"
"ARGENTINA","SANTIAGO_DEL_ESTERO","BELGRANO"
"ESPAÑA","VALLADOLID","VALDESTILLAS"
"ARGENTINA","MENDOZA","SIN_INFORMAR"
"ESPAÑA","VALENCIA","PICANYA"
"ARGENTINA","SANTA_CRUZ","SIN_INFORMAR"
"ESPAÑA","NAVARRA","HUARTE"
"REINO_UNIDO","POWYS","SIN_INFORMAR"
"ESPAÑA","ALMERIA","SENES"
"ESPAÑA","TOLEDO","ILLESCAS"
"ESPAÑA","CASTELLON","RIBESALBES"
"LIECHTENSTEIN","ESCHEN","SIN_INFORMAR"
"ESPAÑA","MADRID","GUADALIX_DE_LA_SIERRA"
"MEXICO","TLAXCALA","APIZACO"
"POLONIA","DOLNOSLASKIE","SIN_INFORMAR"
"VIETNAM","HA_NOI","SIN_INFORMAR"
"ESPAÑA","HUELVA","GIBRALEON"
"ESPAÑA","BARCELONA","LLIÇA_DE_VALL"
"RUMANIA","BIHOR","SIN_INFORMAR"
"ESPAÑA","ASTURIAS","PRAVIA"
"POLONIA","SLASKIE","SIN_INFORMAR"
"ESPAÑA","CUENCA","ZAFRA_DE_ZANCARA"
"TAILANDIA","TAK","SIN_INFORMAR"
"ESPAÑA","VALLADOLID","MEDINA_DEL_CAMPO"
"SRI_LANKA","COLOMBO","SIN_INFORMAR"
"ESPAÑA","VALLADOLID","ZARATAN"
"ESPAÑA","TARRAGONA","XERTA"
"ESPAÑA","GUADALAJARA","LORANCA_DE_TAJUÑA"
"ESPAÑA","GUADALAJARA","TRILLO"
"ARGENTINA","BUENOS_AIRES","SALLIQUELó"
"ARGENTINA","ENTRE_RIOS","LA_PAZ"
"ARGENTINA","BUENOS_AIRES","PATAGONES"
"ARGENTINA","CHACO","INDEPENDENCIA"
"ARGENTINA","CORRIENTES","SAN_LUIS_DEL_PALMAR"
"PARAGUAY","CENTRAL","SIN_INFORMAR"
"ARGENTINA","CHUBUT","TEHUELCHES"
"ESPAÑA","CADIZ","ALGECIRAS"
"CHILE","LOS_LAGOS","OSORNO"
"ESPAÑA","MURCIA","MAZARRON"
"MEXICO","AGUASCALIENTES","JESúS_MARíA"
"ESPAÑA","NAVARRA","PAMPLONA"
"BRASIL","SAO_PAULO","ITAPECERICA_DA_SERRA"
"ESPAÑA","ASTURIAS","NAVA"
" ","CORDOBA","RIO PRIMERO"
"COLOMBIA","CALDAS","SIN_INFORMAR"
"ESPAÑA","VALENCIA","FAURA"
"ESPAÑA","CORDOBA","MONTORO"
"NORUEGA","OSTFOLD","SIN_INFORMAR"
"ESPAÑA","VALENCIA","GILET"
"ESPAÑA","AVILA","BARRACO__EL"
"ESPAÑA","HUESCA","SIETAMO"
"ESLOVENIA","CERKNICA","SIN_INFORMAR"
"ESPAÑA","MALLORCA","SELVA"
"ESPAÑA","NAVARRA","PERALTA"
"ESPAÑA","JAEN","SILES"
"ARMENIA","ARARAT","SIN_INFORMAR"
"ESPAÑA","TERUEL","VALDERROBRES"
"ESPAÑA","CANTABRIA","SANTIURDE_DE_TORANZO"
"ESPAÑA","GUIPUZCOA","ZIZURKIL"
"ESPAÑA","CANTABRIA","VAL_DE_SAN_VICENTE"
"ARGENTINA","BUENOS_AIRES","LA_MATANZA"
"ARGENTINA","BUENOS_AIRES","HURLINGHAM"
"ARGENTINA","JUJUY","SAN_PEDRO"
