"pais","provincia","municipio","ciudad"
"ARGENTINA","CORRIENTES","CORRIENTES_CAPITAL","CORRIENTES"
"ARGENTINA","CIUDAD_DE_BUENOS_AIRES","CIUDAD_DE_BUENOS_AIRES","PARQUE_CHACABUCO"
"ARGENTINA","TUCUMAN","MONTEROS_","VILLA_QUINTEROS"
"ARGENTINA","JUJUY","DR_MANUEL_BELGRANO","SAN_SALVADOR_DE_JUJUY,"
"ARGENTINA","CORRIENTES","MERCEDES","MERCEDES"
"ARGENTINA","BUENOS_AIRES","CAñUELAS","CAñUELAS"
"ARGENTINA","FORMOSA","PILCOMAYO","CLORINDA_"
"ARGENTINA","SANTA_FE","LA_CAPITAL","SANTO_TOMé"
"ARGENTINA","BUENOS_AIRES","MARCOS_PAZ","SIN_INFORMAR"
"ARGENTINA","BUENOS_AIRES","LA_PLATA","SAN_LORENZO"
"ARGENTINA","CORDOBA","UNIóN","PUEBLO_ITALIANO"
"ARGENTINA","BUENOS_AIRES","PUNTA_INDIO","PUNTA_DEL_INDIO"
"ARGENTINA","BUENOS_AIRES","GENERAL_LAVALLE","CHACRAS_DE_GRAL._LAVALLE"
"ARGENTINA","BUENOS_AIRES","BRANDSEN","JEPPENER"
"ARGENTINA","TUCUMAN","LEALES","LOS_GóMEZ"
"ARGENTINA","TUCUMAN","SIN_INFORMAR","SIN_INFORMAR"
"ARGENTINA","SANTA_FE","SAN_CRISTóBAL","COLONIA_CLARA"
"ARGENTINA","SANTIAGO_DEL_ESTERO","CHOYA","SAN_PEDRO_DE_CHOYA"
"ARGENTINA","SAN_LUIS","CORONEL_PRINGLES","CAROLINA_"
"ARGENTINA","SANTIAGO_DEL_ESTERO","GENERAL_TABOADA","TOMáS_YOUNG"
"REPUBLICA_CHECA","HLAVNI_MESTO_PRAHA","SIN_INFORMAR","SIN_INFORMAR"
"ARGENTINA","SANTIAGO_DEL_ESTERO","RíO_HONDO","VILLA_RíO_HONDO"
"ARGENTINA","MENDOZA","TUNUYáN","EL_ALGARROBO"
"BRASIL","BAHIA","ILHéUS-ITABUNA","ILHéUS"
"BRASIL","PARANA","CURITIBA","SIN_INFORMAR"
"ESPAÑA","MADRID","VILLALBILLA","SIN_INFORMAR"
"ARGENTINA","CATAMARCA","CAPAYáN_","SAN_PABLO_"
"ARGENTINA","CORRIENTES","CONCEPCIóN","SIN_INFORMAR"
"ARGENTINA","SALTA","ANTA","CEIBALITO_"
"ARGENTINA","ENTRE_RIOS","GUALEGUAYCHú","COSTA_URUGUAY_NORTE_"
"ARGENTINA","CORDOBA","CALAMUCHITA","VILLA_QUILLINZO"
"ARGENTINA","RIO_NEGRO","CONESA","COLONIA_E._FRIAS_"
"ARGENTINA","BUENOS_AIRES","CIUDAD_DE_BUENOS_AIRES","SIN_INFORMAR"
"ARGENTINA","JUJUY","SANTA_CATALINA","CASIRA_"
"ARGENTINA","JUJUY","SAN_ANTONIO","LOTEO_NAVEA_"
"ESPAÑA","MALLORCA","PUIGPUNYENT","SIN_INFORMAR"
"ESPAÑA","HUELVA","ALJARAQUE","SIN_INFORMAR"
"ARGENTINA","CHUBUT","ESCALANTE","DON_BOSCO_KM_8_"
"AUSTRALIA","QUEENSLAND","SIN_INFORMAR","SIN_INFORMAR"
"ARGENTINA","SANTA_FE","LA_CAPITAL","MANUCHO"
"ESPAÑA","ALICANTE","GUARDAMAR_DEL_SEGURA","SIN_INFORMAR"
"ARGENTINA","SALTA","ROSARIO_DE_LERMA_","SAN_BERNARDO_DE_LAS_ZORRAS"
"ARGENTINA","CATAMARCA","TINOGASTA","EL_PUEBLITO_"
"BELGICA","ANTWERPEN","SIN_INFORMAR","SIN_INFORMAR"
"ARGENTINA","SANTA_FE","SAN_JUSTO","SAN_BERNARDO"
"ESPAÑA","LAS_PALMAS","INGENIO","SIN_INFORMAR"
"ARGENTINA","RIO_NEGRO","VEINTICINCO_DE_MAYO","PILQUINIYEU_"
"ESPAÑA","MADRID","ARGANDA_DEL_REY","SIN_INFORMAR"
"ARGENTINA","SAN_JUAN","CAUCETE","LAS_CHACRAS"
"ARGENTINA","SANTIAGO_DEL_ESTERO","LORETO_","AYUNCHA"
"ARGENTINA","CATAMARCA","BELéN_","HUASI_CIéNAGA"
"REPUBLICA_POPULAR_CHINA","TAIWAN","SIN_DETERMINAR","SIN_INFORMAR"
"MEXICO","DISTRITO_FEDERAL","AZCAPOTZALCO","SIN_INFORMAR"
"ESPAÑA","BARCELONA","ABRERA","SIN_INFORMAR"
"ARGENTINA","JUJUY","SAN_PEDRO","PALOS_BLANCOS_"
"ESPAÑA","BARCELONA","SANT_FELIU_DE_CODINES","SIN_INFORMAR"
"CHILE","LIBERTADOR_GENERAL_BERNARDO_OHIGGINS","COLCHAGUA","SIN_INFORMAR"
"JAPON","SHIZUOKA","SIN_INFORMAR","SIN_INFORMAR"
"ESPAÑA","ALICANTE","ROJALES","SIN_INFORMAR"
"ESPAÑA","GIRONA","PALS","SIN_INFORMAR"
"ARGENTINA","BUENOS_AIRES","LAS_FLORES","VILELA"
"URUGUAY","LAVALLEJA","SIN_INFORMAR","SIN_INFORMAR"
"ESPAÑA","GUADALAJARA","TORREJON_DEL_REY","SIN_INFORMAR"
"ESPAÑA","TARRAGONA","POBLA_DE_MAFUMET__LA","SIN_INFORMAR"
"ESPAÑA","ASTURIAS","RIOSA","SIN_INFORMAR"
"EGIPTO","AL_ISKANDARIYAH","SIN_INFORMAR","SIN_INFORMAR"
"ANTIGUA_AND_BARBUDA","SIN_INFORMAR","SIN_INFORMAR","SIN_INFORMAR"
"ESPAÑA","BURGOS","SIN_INFORMAR","SIN_INFORMAR"
"IRLANDA","DONEGAL","SIN_INFORMAR","SIN_INFORMAR"
"REPUBLICA_POPULAR_CHINA","HUBEI","SIN_INFORMAR","SIN_INFORMAR"
"ESPAÑA","MADRID","CHINCHON","SIN_INFORMAR"
"ARGENTINA","CORRIENTES","GOYA","CAMPO_VILLAR"
"PORTUGAL","BRAGA","SIN_INFORMAR","SIN_INFORMAR"
"ESPAÑA","NAVARRA","VILLAVA","SIN_INFORMAR"
"CHILE","VALPARAISO","SAN_FELIPE_DE_ACONCAGUA","LLAILLAY"
"BRASIL","SANTA_CATARINA","SãO_MIGUEL_DO_OESTE","SãO_MIGUEL_DO_OESTE"
"ESPAÑA","SALAMANCA","CASTELLANOS_DE_MORISCOS","SIN_INFORMAR"
"ESPAÑA","BARCELONA","GIRONA","SIN_INFORMAR"
"MEXICO","CHIHUAHUA","CHíNIPAS","SIN_INFORMAR"
"LIBANO","LIBAN-SUD","CAZA_SOUR","MANSOURI"
"ESPAÑA","LA_CORUÑA","MUROS","SIN_INFORMAR"
" ","CORDOBA","SANTA MARIA","VILLA DEL PRADO"
" ","CORDOBA","PUNILLA","LOS COCOS"
"ESPAÑA","GRANADA","HUETOR_TAJAR","SIN_INFORMAR"
"BRASIL","SAO_PAULO","SãO_PAULO","RIBEIRãO_PIRES"
" ","SANTA FE","CONSTITUCION","VILLA CONSTITUCION"
"ARGENTINA","SANTIAGO_DEL_ESTERO","COPO","MONTE_QUEMADO"
"ARGENTINA","BUENOS_AIRES","QUILMES","SIN_INFORMAR"
"ARGENTINA","CHACO","SAN_LORENZO","VILLA_BERTHET_"
"ARGENTINA","SAN_JUAN","RIVADAVIA","RIVADAVIA"
"ARGENTINA","CATAMARCA","BELéN_","BELéN_"
"ARGENTINA","BUENOS_AIRES","LOBERíA","LOBERíA"
"ARGENTINA","SANTA_FE","ROSARIO","PIñERO"
"ARGENTINA","ENTRE_RIOS","GUALEGUAYCHú","PUEBLO_GENERAL_BELGRANO_"
"CANADA","QUEBEC","SIN_INFORMAR","SIN_INFORMAR"
"ARGENTINA","MENDOZA","LAVALLE","JOCOLí_VIEJO"
"ARGENTINA","CHACO","FRAY_JUSTO_SANTA_MARíA_DE_ORO","CHOROTIS_"
"ARGENTINA","CORDOBA","COLóN","LA_GRANJA"
"ARGENTINA","CORRIENTES","PASO_DE_LOS_LIBRES","PARADA_PUCHETA"
"ARGENTINA","CORDOBA","SAN_JUSTO","LA_TORDILLA"
"ARGENTINA","ENTRE_RIOS","FEDERAL","CONSCRIPTO_BERNARDI_"
"ARGENTINA","SANTIAGO_DEL_ESTERO","OJO_DE_AGUA","OJO_DE_AGUA"
"ARGENTINA","SALTA","GENERAL_GüEMES","EL_BORDO_"
"ARGENTINA","LA_RIOJA","CHILECITO","VICHIGASTA_"
"ARGENTINA","JUJUY","LEDESMA","CAIMANCITO_"
"ARGENTINA","CORDOBA","CRUZ_DEL_EJE","SAN_MARCOS_SIERRAS"
"ARGENTINA","SAN_JUAN","IGLESIA","RODEO_"
"ARGENTINA","RIO_NEGRO","GENERAL_ROCA","Bº_NORTE_(MUNICIPIO_GENERAL_ROCA)_"
"ARGENTINA","MENDOZA","SANTA_ROSA","LA_DORMIDA"
"ARGENTINA","BUENOS_AIRES","SAN_ANDRéS_DE_GILES","SOLíS"
"ARGENTINA","MENDOZA","LAVALLE","ALTO_DEL_OLVIDO"
"ARGENTINA","SANTA_FE","SAN_LORENZO","RICARDONE"
"ESPAÑA","GUADALAJARA","AZUQUECA_DE_HENARES","SIN_INFORMAR"
"ARGENTINA","SAN_JUAN","SARMIENTO","LOS_BERROS_"
"ARGENTINA","CHACO","OHiggins","LA_TIGRA_"
"ARGENTINA","SANTIAGO_DEL_ESTERO","MORENO","TINTINA"
"ARGENTINA","TUCUMAN","LEALES","AGUA_DULCE_Y_LA_SOLEDAD"
"ARGENTINA","LA_RIOJA","GENERAL_OCAMPO","VILLA_SANTA_RITA_DE_CATUNA_"
"ARGENTINA","BUENOS_AIRES","CAPITáN_SARMIENTO","LA_LUISA"
"ARGENTINA","BUENOS_AIRES","TRES_ARROYOS","SIN_INFORMAR"
"ARGENTINA","CORDOBA","GENERAL_ROCA","NICOLáS_BRUZZONE"
"ARGENTINA","BUENOS_AIRES","ROJAS","CARABELAS"
"ITALIA","PIEMONTE","SIN_INFORMAR","SIN_INFORMAR"
"ARGENTINA","CORDOBA","CALAMUCHITA","VILLA_YACANTO"
"ARGENTINA","SAN_LUIS","JUNíN_","CERRO_DE_ORO_"
"ARGENTINA","SANTA_FE","NUEVE_DE_JULIO","JUAN_DE_GARAY"
"ARGENTINA","ENTRE_RIOS","URUGUAY","PRONUNCIAMIENTO_"
"ARGENTINA","CORDOBA","PRESIDENTE_ROQUE_SáENZ_PEñA","LEGUIZAMóN"
"ARGENTINA","SAN_LUIS","BELGRANO_","SUYUQUE_NUEVO"
"ARGENTINA","SALTA","GENERAL_GüEMES","CABEZA_DE_BUEY_"
"ARGENTINA","BUENOS_AIRES","CARLOS_TEJEDOR","TIMOTE"
"ESPAÑA","BARCELONA","MOLLET_DEL_VALLES","SIN_INFORMAR"
"ARGENTINA","CHUBUT","LANGUIñEO","CARRENLEUFú_"
"ARGENTINA","SANTA_FE","SAN_JERóNIMO","CAMPO_PIAGGIO"
"MEXICO","MEXICO","NAUCALPAN_DE_JUáREZ","SIN_INFORMAR"
"ARGENTINA","RIO_NEGRO","EL_CUY","SIN_INFORMAR"
"ARGENTINA","JUJUY","YAVI","LA_INTERMEDIA_"
"ARGENTINA","MISIONES","IGUAZú","SIN_INFORMAR"
"ESPAÑA","GIRONA","BESCANO","SIN_INFORMAR"
"ARGENTINA","SANTA_CRUZ","CORPEN_AIKE","SIN_INFORMAR"
"ESPAÑA","GIRONA","LLAGOSTERA","SIN_INFORMAR"
"CHILE","VALPARAISO","LOS_ANDES","LOS_ANDES"
